School,G,W,L,WLPct,Srs,Sos,Tm,Opp,Pace,ORtg,FTr,X3PAr,TsPct,TrbPct,AstPct,StlPct,BlkPct,EFgPct,TovPct,OrbPct,FtFga,Season,TeamId,SRS_scaled,ORtg_scaled,SRS_ORtg,SRS_ORtg_scaled
texas-el paso,31,11,20,0.355,-5.43,-0.33,2094,2197,69.5,97.2,0.312,0.384,0.525,46.6,43.5,6,8.7,0.499,16,19.6,0.209,2018,1431,18.986836856801,14.9725274725275,91.77,33.9593643293284
texas-rio grande valley,32,15,17,0.469,-7.28,-2.34,2416,2507,75.9,98.7,0.408,0.322,0.505,48.1,59.7,10,8.5,0.452,15.3,28.2,0.301,2018,1410,17.1420023932988,17.032967032967,91.42,34.1749694262658
texas-san antonio,33,19,14,0.576,-1.16,-0.83,2595,2483,74.1,105.8,0.291,0.439,0.54,51.4,50.3,8.5,7.5,0.515,14.8,28.2,0.199,2018,1427,23.2449142401276,26.7857142857143,104.64,50.0306285258419
texas southern,34,15,19,0.441,-7.92,-5.83,2640,2711,72.5,106.2,0.432,0.368,0.551,48.7,47.5,7.6,9.1,0.508,15.1,28.5,0.311,2018,1411,16.5037893897088,27.3351648351648,98.28,43.8389542248737
texas state,33,15,18,0.455,-5.55,-3.17,2190,2172,65.4,100.7,0.365,0.364,0.524,52.4,58,8.2,8.5,0.494,17.4,32.5,0.241,2018,1402,18.8671719186278,19.7802197802198,95.15,38.6473916988476
texas tech,33,24,9,0.727,19.56,9.02,2483,2135,68.3,109.3,0.403,0.341,0.561,53,51.8,10.8,12.3,0.527,15.7,33.3,0.282,2018,1403,43.9070602313522,31.5934065934066,128.86,75.5004668247588
texas,33,19,14,0.576,14.45,10.93,2367,2251,66.9,103.6,0.332,0.382,0.526,49.9,44.8,9,12.7,0.498,14.8,29.5,0.222,2018,1400,38.8113282808137,23.7637362637363,118.05,62.57506454455
toledo,34,23,11,0.676,2.73,-1.67,2687,2532,69.9,113,0.371,0.417,0.585,51.2,57.8,5.3,9.3,0.551,14.7,27.7,0.273,2018,1405,27.1240526525728,36.6758241758242,115.73,63.799876828397
towson,32,18,14,0.563,-0.15,-3.15,2446,2279,68.7,109.5,0.35,0.306,0.55,53.8,42.9,9.4,12.7,0.522,15.4,35.1,0.24,2018,1406,24.252094136418,31.8681318681319,109.35,56.1202260045499
troy,33,16,17,0.485,-1.29,-1.9,2475,2408,69.9,106.5,0.343,0.449,0.551,49.8,51.3,7.1,10,0.515,15.4,27.3,0.252,2018,1407,23.1152772237734,27.7472527472527,105.21,50.8625299710262
tulane,31,14,17,0.452,1.51,2.38,2269,2296,69.7,104.1,0.345,0.373,0.548,49,60.4,7.1,10.5,0.515,16.5,27.3,0.246,2018,1408,25.9074591144795,24.4505494505495,105.61,50.3580085650289
tulsa,31,19,12,0.613,5.31,2.73,2277,2197,68.1,106.6,0.416,0.411,0.549,52,51.9,6.6,6.4,0.507,16.1,32,0.302,2018,1409,29.6968488232948,27.8846153846154,111.91,57.5814642079102
ucla,33,21,12,0.636,12.45,7.24,2679,2507,71.5,111.1,0.355,0.404,0.569,51.8,53.4,7.6,10.3,0.537,14.5,28.3,0.256,2018,1417,36.8169126445951,34.0659340659341,123.55,70.8828467105292
utah state,34,17,17,0.5,2.58,2.91,2489,2466,68.8,106,0.329,0.457,0.565,49.8,54.7,7.2,5.6,0.538,16.7,25.6,0.232,2018,1429,26.9744714798564,27.0604395604396,108.58,54.034911040296
utah valley,33,23,10,0.697,5.8,-1.43,2584,2232,70.2,111.1,0.384,0.363,0.588,54.8,60.1,8.6,10.4,0.553,17.5,32.4,0.285,2018,1430,30.1854806541683,34.0659340659341,116.9,64.2514147201024
utah,30,19,11,0.633,10.9,6.14,2205,2062,67.8,108,0.349,0.456,0.577,49.1,61.9,7.7,9.9,0.54,15.9,24,0.265,2018,1428,35.2712405265257,29.8076923076923,118.9,65.078932834218
valparaiso,32,15,17,0.469,0.69,0.99,2252,2182,69.8,100.8,0.387,0.358,0.546,50.9,51.1,10.5,9.3,0.51,18.5,27.7,0.274,2018,1434,25.0897487036298,19.9175824175824,101.49,45.0073311212123
vanderbilt,32,12,20,0.375,8.95,10.58,2316,2368,66.5,108,0.362,0.461,0.557,50.3,50.6,7.2,8.7,0.518,15.4,28.7,0.269,2018,1435,33.3266852812126,29.8076923076923,116.95,63.1343775889049
vermont,35,27,8,0.771,4.75,-3.31,2587,2277,65.3,113.2,0.418,0.36,0.598,53.5,53.1,5.9,7.4,0.559,15.2,26.3,0.315,2018,1436,29.1384124451536,36.9505494505495,117.95,66.088961895703
villanova,34,30,4,0.882,25.67,9.5,2960,2410,70.2,122.7,0.286,0.466,0.623,52.1,53.7,9.4,10.2,0.597,12.9,28.9,0.221,2018,1437,50,50,148.37,100
virginia commonwealth,33,18,15,0.545,3.77,2.65,2507,2470,71.4,105.2,0.281,0.386,0.549,51,55.4,8.8,7.4,0.526,16.3,29,0.194,2018,1433,28.1611487834065,25.9615384615385,108.97,54.1226872449449
vmi,30,9,21,0.3,-15.17,-4,1954,2214,70.5,92.4,0.276,0.407,0.5,47.4,51.6,10.5,8.7,0.463,18.4,25.4,0.204,2018,1440,9.27403270841643,8.37912087912087,77.23,17.6531535875373
virginia tech,32,21,11,0.656,14.82,6.85,2551,2296,69.9,112.7,0.365,0.401,0.6,48.9,58.6,8.1,6.7,0.575,15.2,23.5,0.259,2018,1439,39.1802951735142,36.2637362637363,127.52,75.4440314372504
virginia,33,31,2,0.939,23.78,9.63,2229,1762,60.5,111.2,0.248,0.348,0.558,51.5,54.9,11.2,12.5,0.529,12.4,27.3,0.188,2018,1438,48.1152772237734,34.2032967032967,134.98,82.3185739270701
wagner,33,23,10,0.697,-2.9,-6.61,2448,2256,69.6,106.2,0.359,0.392,0.533,53.7,52.6,9.5,11.5,0.496,16.4,36.3,0.255,2018,1447,21.5097726366175,27.3351648351648,103.3,48.8449374717823
wake forest,31,11,20,0.355,7.96,8.99,2273,2305,69.9,104.9,0.319,0.353,0.54,51,53.9,8.4,10.4,0.505,16.2,30.5,0.235,2018,1448,32.3394495412844,25.5494505494505,112.86,57.888900090735
washington state,31,12,19,0.387,0.98,5.53,2270,2411,69.4,104.7,0.247,0.504,0.566,47.2,56.2,7.5,6.2,0.541,17.3,24.6,0.182,2018,1450,25.3789389708815,25.2747252747253,105.68,50.6536642456068
washington,32,20,12,0.625,7.78,6.06,2377,2322,70.6,104,0.371,0.338,0.547,48.5,44.1,11.2,13.4,0.513,16.5,29.1,0.261,2018,1449,32.1599521340247,24.3131868131868,111.78,56.4731389472116
weber state,31,20,11,0.645,0.21,-2.68,2434,2195,70,110.8,0.349,0.391,0.606,49.3,50.8,7.3,9.6,0.572,15.5,19.1,0.268,2018,1451,24.6110889509374,33.6538461538462,111.01,58.2649351047835
west virginia,34,24,10,0.706,20.17,9.55,2707,2346,70.3,112.8,0.312,0.389,0.542,52.4,54.2,11.4,16,0.503,13.4,36.6,0.239,2018,1452,44.5153570003989,36.4010989010989,132.97,80.9164559014978
western carolina,32,13,19,0.406,-11.64,-1.38,2190,2419,71,96.3,0.317,0.373,0.505,48,55.2,11.2,8.9,0.473,18,30.5,0.216,2018,1441,12.7941763063422,13.7362637362637,84.66,26.530440042606
western illinois,28,12,16,0.429,-10.8,-2,2012,2009,69.9,101.5,0.284,0.328,0.552,50,41.1,6.9,10.5,0.525,16.1,21,0.203,2018,1442,13.631830873554,20.8791208791209,90.7,34.5109517526749
western kentucky,35,25,10,0.714,10.65,2.77,2744,2446,69.9,111.8,0.404,0.271,0.576,51.6,48,10.4,9.6,0.543,14.8,29.5,0.287,2018,1443,35.0219385719984,35.0274725274725,122.45,70.049411099471
western michigan,32,17,15,0.531,-2.06,-1.83,2402,2349,69.4,107.8,0.342,0.352,0.536,50.7,47.9,9.4,9.8,0.499,13.3,30.5,0.249,2018,1444,22.3474272038293,29.532967032967,105.74,51.8803942367963
wichita state,32,25,7,0.781,17.51,5.85,2656,2283,69.9,117.8,0.351,0.39,0.585,57,63.8,6.7,11.4,0.553,14,35.4,0.259,2018,1455,41.8627842042282,43.2692307692308,135.31,85.132014973459
william & mary,31,19,12,0.613,-1.29,-1.25,2636,2531,71.4,117.6,0.332,0.436,0.639,50.4,60.2,7.8,10.5,0.605,15.6,22.4,0.269,2018,1456,23.1152772237734,42.9945054945055,116.31,66.1097827182789
winthrop,31,19,12,0.613,-1.44,-5.65,2464,2219,72.4,109.8,0.346,0.439,0.588,51.2,53,9.4,12.4,0.559,17,27,0.25,2018,1457,22.965696051057,32.2802197802198,108.36,55.2459158312768
wisconsin,33,15,18,0.455,10.69,9.82,2206,2177,63.4,104.9,0.327,0.364,0.539,49.7,51.8,8.6,9.7,0.509,14.7,28.4,0.228,2018,1458,35.0618268847228,25.5494505494505,115.59,60.6112774341733
wofford,33,21,12,0.636,-0.53,-2.19,2484,2307,67.7,111.2,0.283,0.453,0.594,50.3,57.3,9.7,8.4,0.563,16.2,25.2,0.221,2018,1459,23.8731551655365,34.2032967032967,110.67,58.0764518688332
wright state,34,25,9,0.735,0.76,-4.4,2453,2234,70,102.3,0.364,0.348,0.534,52.1,52.8,9.4,6.5,0.495,16.3,29.1,0.261,2018,1460,25.1595532508975,21.978021978022,103.06,47.1375752289195
wyoming,33,20,13,0.606,4.53,3.81,2633,2597,74.7,103.3,0.403,0.45,0.564,47.1,59.3,8.4,9.8,0.523,16.1,19.2,0.298,2018,1461,28.9190267251695,23.3516483516484,107.83,52.2706750768179
xavier,33,28,5,0.848,19.6,9.82,2781,2458,72.1,115.6,0.402,0.36,0.601,55.1,57.6,8,8,0.557,15.1,30,0.318,2018,1462,43.9469485440766,40.2472527472528,135.2,84.1942012913293
yale,31,16,15,0.516,-4.07,-2.7,2312,2288,70.2,105.5,0.307,0.424,0.562,49.8,61,9.3,8.2,0.533,16.5,26,0.222,2018,1463,20.3430394894296,26.3736263736264,101.43,46.716665863056
youngstown state,32,8,24,0.25,-13.7,-2.6,2410,2647,74.2,100.7,0.276,0.337,0.505,50.8,49.3,11.1,10.4,0.483,16.2,35.6,0.176,2018,1464,10.7399282010371,19.7802197802198,87,30.5201479812569
abilene christian,31,25,6,0.806,-1.33,-7.92,2312,1956,67.2,110,0.337,0.346,0.569,50.9,58.9,12.7,8.1,0.54,15.5,29.7,0.241,2019,1101,22.7874501269496,31.496062992126,108.67,54.2835131190756
air force,31,14,17,0.452,-3.38,0.42,2129,2218,67.4,100.2,0.284,0.396,0.543,50.2,53.8,7.1,5.5,0.52,17.1,23.9,0.193,2019,1102,20.9285455204933,18.6351706036745,96.82,39.5637161241678
akron,32,17,15,0.531,6.16,1.06,2225,2025,68.3,101.5,0.276,0.48,0.521,48.6,50.4,8.4,9,0.492,15,25.9,0.194,2019,1103,29.5792528110265,20.3412073490814,107.66,49.9204601601078
alabama a&m,32,5,27,0.156,-19.1,-8.25,1938,2285,67.5,88.7,0.251,0.319,0.479,47,52.2,10.7,4.6,0.458,19.4,27.6,0.157,2019,1105,6.67392092854552,3.54330708661418,69.6,10.2172280151597
alabama-birmingham,32,19,13,0.594,0.58,-1.42,2248,2150,66.5,104.8,0.306,0.347,0.537,52.6,45,9.5,7.4,0.512,14.9,30.1,0.206,2019,1412,24.5194051505259,24.6719160104987,105.38,49.1913211610246
alabama state,30,12,18,0.4,-15.36,-7.82,2020,2155,69.4,96.2,0.388,0.382,0.502,49,43.6,9.3,9.6,0.466,17.8,30.8,0.255,2019,1106,10.0652883569097,13.3858267716535,80.84,23.4511151285632
alabama,31,17,14,0.548,10.37,9.44,2252,2223,70.1,103.6,0.389,0.371,0.54,52.1,48.5,6.4,11.9,0.509,16.8,31.1,0.26,2019,1104,33.3968081247733,23.0971128608924,113.97,56.4939209856657
albany (ny),32,12,20,0.375,-9,-6.32,2150,2216,66.7,99.2,0.322,0.451,0.533,49.8,55.2,9,7.1,0.494,18.4,27.1,0.24,2019,1107,15.8324265505985,17.3228346456693,90.2,33.1552611962678
alcorn state,31,10,21,0.323,-21.99,-8.88,1995,2194,68.8,93.2,0.316,0.375,0.504,49.9,55.1,10.7,9.8,0.473,19.9,30.1,0.213,2019,1108,4.05331882480957,9.4488188976378,71.21,13.5021377224474
american,30,15,15,0.5,-3.82,-6.85,2161,2070,67.7,104.7,0.358,0.355,0.562,50.4,51.4,10.7,11,0.533,16.7,26.1,0.25,2019,1110,20.5295611171563,24.5406824146982,100.88,45.0702435318545
appalachian state,32,11,21,0.344,-3.43,0.4,2557,2539,73.7,107.6,0.364,0.42,0.562,48.6,46.1,7.2,6.8,0.529,15.5,26.5,0.261,2019,1111,20.8832063837505,28.3464566929134,104.17,49.2296630766639
arizona state,30,21,9,0.7,10.4,5.57,2332,2187,72.5,105.9,0.432,0.361,0.541,53.2,51.4,8.5,9.5,0.508,16,32.4,0.289,2019,1113,33.424011606819,26.1154855643045,116.3,59.5394971711235
arizona,32,17,15,0.531,8.49,6.49,2269,2205,68.6,102.6,0.333,0.376,0.526,50.5,50,7.5,6.6,0.49,14.7,28.4,0.24,2019,1112,31.6920565832427,21.7847769028871,111.09,53.4768334861298
little rock,31,10,21,0.323,-4.44,-1.65,2301,2353,72.7,101.2,0.417,0.344,0.569,49.8,54.2,7.4,8.6,0.545,19.9,24.1,0.273,2019,1114,19.9673558215452,19.9475065616798,96.76,39.914862383225
arkansas-pine bluff,32,13,19,0.406,-14.31,-8.05,2108,2269,67.3,96.3,0.417,0.341,0.522,49.4,50.8,9.9,9.4,0.484,19.1,29.1,0.282,2019,1115,11.0174102285092,13.5170603674541,81.99,24.5344705959633
arkansas state,32,13,19,0.406,-6.65,-0.78,2359,2475,70.2,102.6,0.379,0.372,0.525,51.5,45.6,8,11.8,0.48,16.6,33.2,0.278,2019,1117,17.9633659775118,21.7847769028871,95.95,39.7481428803989
arkansas,31,17,14,0.548,12.47,8.98,2365,2257,72.3,104.7,0.386,0.372,0.541,46.9,59.3,11.2,14.7,0.513,15.9,28.5,0.256,2019,1116,35.3010518679724,24.5406824146982,117.17,59.8417342826706
army,32,13,19,0.406,-7.15,-4.31,2268,2305,71.7,98.9,0.241,0.442,0.52,48.9,59.6,8.6,4.6,0.497,14.7,21.8,0.165,2019,1119,17.5099746100834,16.9291338582677,91.75,34.4391084683511
auburn,31,22,9,0.71,19.99,9.72,2482,2123,70.1,113.4,0.316,0.479,0.565,50.1,52.9,13,16,0.539,15.1,33.7,0.223,2019,1120,42.120058034095,35.9580052493438,133.39,78.0780632834389
austin peay,33,22,11,0.667,0.72,-4.28,2712,2413,71.9,113.1,0.342,0.341,0.566,51.7,46.7,10.5,9.2,0.537,14.1,33.1,0.242,2019,1122,24.6463547334059,35.5643044619423,113.82,60.2106591953481
ball state,32,16,16,0.5,4.29,1.61,2392,2263,71.4,103.1,0.38,0.327,0.555,51.6,47.7,9.2,9.1,0.522,17.8,27.9,0.267,2019,1123,27.8835690968444,22.4409448818898,107.39,50.3245139787342
baylor,31,19,12,0.613,13.32,8.16,2227,2067,66.7,107.2,0.331,0.403,0.536,54.6,54.5,9.3,13.8,0.509,16.5,37.9,0.223,2019,1124,36.0718171926007,27.8215223097113,120.52,63.8933395023119
belmont,31,26,5,0.839,8.7,-3.5,2710,2290,74.4,116.6,0.282,0.44,0.605,52.6,62.4,9.1,9.2,0.582,13.8,25.6,0.208,2019,1125,31.8824809575626,40.1574803149606,125.3,72.0399612725232
bethune-cookman,30,14,16,0.467,-11.34,-9.34,2219,2165,74.1,99,0.366,0.333,0.517,52,53.2,9.9,9.2,0.495,18.2,33.9,0.224,2019,1126,13.7105549510337,17.0603674540682,87.66,30.770922405102
binghamton,33,10,23,0.303,-13.55,-4.32,2152,2376,67.3,96.9,0.245,0.428,0.523,45.6,40.9,8.2,12.6,0.505,16.6,21.4,0.158,2019,1127,11.7065651070004,14.3044619422572,83.35,26.0110270492576
boise state,32,13,19,0.406,3.88,1.01,2295,2186,66.6,106.9,0.327,0.4,0.569,50,46.8,9,6.5,0.54,15.5,23.9,0.235,2019,1129,27.5117881755531,27.4278215223097,110.78,54.9396096978629
boston college,31,14,17,0.452,6.73,8.66,2196,2256,68.4,101.9,0.35,0.38,0.521,48.7,49.7,7.4,9.1,0.485,15.2,28.6,0.244,2019,1130,30.0961189698948,20.8661417322835,108.63,50.9622607021783
boston university,33,15,18,0.455,-6.21,-4.99,2385,2387,68.1,105.8,0.243,0.332,0.556,51.5,48.5,8.8,6.6,0.537,16.5,28.7,0.166,2019,1131,18.3623503808488,25.984251968504,99.59,44.3466023493527
bowling green state,31,20,11,0.645,4.33,0.71,2425,2256,72.6,106.8,0.354,0.359,0.534,53.4,46.7,9.3,7.8,0.505,14.3,31.3,0.238,2019,1132,27.9198404062387,27.2965879265092,111.13,55.2164283327479
bradley,34,20,14,0.588,-0.14,-1.32,2264,2209,66.1,100.4,0.359,0.347,0.531,50.9,51.9,8.1,11.6,0.497,16.8,27.4,0.249,2019,1133,23.8665215814291,18.8976377952756,100.26,42.7641593767047
brigham young,32,19,13,0.594,6.63,3.79,2527,2436,71.9,108.5,0.4,0.364,0.566,49,54.9,8.7,8.8,0.528,13.7,23.6,0.29,2019,1140,30.0054406964091,29.5275590551181,115.13,59.5329997515272
brown,30,19,11,0.633,0.01,-3.31,2209,2045,72.7,100.5,0.379,0.4,0.546,50.3,50.7,10.4,11,0.51,17.4,24.1,0.268,2019,1135,24.0025389916576,19.0288713910761,100.51,43.0314103827337
bryant,30,10,20,0.333,-14.82,-7.29,2088,2314,69.2,100.6,0.368,0.421,0.529,47.3,45,7.6,7.5,0.49,16.3,26.7,0.262,2019,1136,10.5549510337323,19.1601049868766,85.78,29.715056020609
bucknell,33,21,12,0.636,0.93,-2.59,2534,2418,71.4,107.2,0.339,0.459,0.566,49.8,59.9,7.3,8.9,0.53,15.5,25.5,0.254,2019,1137,24.8367791077258,27.8215223097113,108.13,52.6583014174371
buffalo,31,28,3,0.903,15.51,2.11,2634,2198,74.9,113,0.319,0.43,0.562,52.3,56.4,9.9,10.3,0.536,13.8,31.9,0.221,2019,1138,38.0576713819369,35.4330708661417,128.51,73.4907422480786
butler,32,16,16,0.5,9.92,8.64,2298,2257,67.2,106,0.251,0.426,0.547,48.5,50.1,8.7,5.8,0.519,14.3,25.6,0.185,2019,1139,32.9887558940878,26.246719160105,115.92,59.2354750541928
cal poly,29,6,23,0.207,-13.47,-3.07,1930,2183,66.8,97.5,0.264,0.401,0.5,46.8,42.6,7.4,8.9,0.477,14.8,26.1,0.171,2019,1142,11.7791077257889,15.0918635170604,84.03,26.8709712428493
cal state bakersfield,30,16,14,0.533,-4.05,-1.9,2141,2122,67.3,104.7,0.296,0.338,0.511,53.2,44.9,9.7,10.7,0.485,15.7,37.7,0.197,2019,1167,20.3210010881393,24.5406824146982,100.65,44.8616835028374
cal state fullerton,30,14,16,0.467,-2.16,-0.63,2176,2127,71.1,100.4,0.374,0.307,0.542,50.5,48.6,8.1,8.3,0.507,16.6,23.6,0.261,2019,1168,22.0348204570185,18.8976377952756,98.24,40.9324582522941
cal state northridge,32,13,19,0.406,-6.3,-3.3,2449,2538,71.9,105.2,0.326,0.308,0.539,48.1,52.8,8.7,11.1,0.519,14.7,27.9,0.206,2019,1169,18.2807399347116,25.1968503937008,98.9,43.4775903284124
california baptist,30,16,14,0.533,-3.59,-3.86,2348,2185,70.3,109.5,0.307,0.43,0.565,52,41.5,6.8,7,0.527,14.9,28.3,0.24,2019,1465,20.7381211461734,30.8398950131234,105.91,51.5780161592967
uc-davis,30,11,19,0.367,-5.76,-0.97,1967,2053,67,96.6,0.313,0.376,0.532,46.5,51.6,9.3,6.6,0.499,17.7,21.5,0.224,2019,1413,18.7704026115343,13.9107611548556,90.84,32.6811637663899
uc-irvine,32,27,5,0.844,5.44,-2.49,2321,2041,66.5,107.4,0.297,0.324,0.539,55.1,49.6,8.3,11.2,0.513,15.1,34.4,0.203,2019,1414,28.9263692419296,28.0839895013123,112.84,57.010358743242
uc-riverside,32,10,22,0.313,-10.56,-3.01,2109,2216,64.5,101.7,0.237,0.417,0.547,50.7,53.9,7.8,5.2,0.527,17.7,26.8,0.163,2019,1415,14.417845484222,20.6036745406824,91.14,35.0215200249044
uc-santa barbara,30,21,9,0.7,-0.9,-5.22,2221,1982,66.1,111.1,0.38,0.329,0.55,55,53.2,7.6,9.2,0.513,14.2,35.3,0.272,2019,1364,23.177366702938,32.9396325459318,110.2,56.1169992488698
university of california,31,8,23,0.258,-2.9,5.69,2121,2387,68.5,99.5,0.348,0.341,0.525,44.6,45.3,10.7,9.9,0.486,14.8,23.3,0.251,2019,1143,21.3638012332245,17.7165354330709,96.6,39.0803366662954
campbell,32,20,12,0.625,-3.25,-4.56,2426,2244,67.9,111.3,0.315,0.484,0.573,48,55.8,9.6,10.1,0.539,13.3,24,0.238,2019,1144,21.0464272760247,33.2020997375328,108.05,54.2485270135575
canisius,32,15,17,0.469,-8.51,-4.57,2250,2376,68.5,101.4,0.314,0.431,0.534,47.3,58.4,9.2,9.7,0.505,16.4,27.1,0.217,2019,1145,16.2767500906783,20.2099737532808,92.89,36.4867238439591
central arkansas,32,14,18,0.438,-10.55,-4.24,2318,2419,72.2,99.5,0.35,0.408,0.537,48.4,57.3,8.3,10.1,0.499,17.8,25.1,0.255,2019,1146,14.4269133115705,17.7165354330709,88.95,32.1434487446414
central connecticut state,31,11,20,0.355,-13.57,-6.26,2205,2367,70.4,99.4,0.348,0.336,0.52,50.1,46.8,7.8,10.9,0.469,16.8,29.9,0.272,2019,1148,11.6884294523032,17.5853018372703,85.83,29.2737312895736
central florida,30,23,7,0.767,13.49,4.59,2181,1914,67,108,0.468,0.36,0.558,51.8,54.2,8.5,12.2,0.531,15.2,29.6,0.303,2019,1416,36.2259702575263,28.8713910761155,121.49,65.0973613336418
central michigan,32,22,10,0.688,3.18,-0.62,2640,2424,73.5,110.1,0.424,0.375,0.553,50.2,47.1,10.3,7.8,0.521,14.2,32.1,0.285,2019,1141,26.8770402611534,31.6272965879265,113.28,58.5043368490799
charleston southern,32,17,15,0.531,-2.08,-4.12,2439,2230,71.9,105.3,0.277,0.443,0.53,50.9,52.7,10.9,10.1,0.507,15.3,31.3,0.187,2019,1149,22.107363075807,25.3280839895013,103.22,47.4354470653084
charlotte,29,8,21,0.276,-7.93,-0.49,1776,1992,65.8,93,0.364,0.427,0.525,48.3,48.2,7.2,11.1,0.481,19.8,21.9,0.27,2019,1150,16.8026840768952,9.18635170603674,85.07,25.9890357829319
chattanooga,32,12,20,0.375,-7.43,-0.32,2268,2376,69.5,101.6,0.243,0.423,0.54,48.6,50.3,6.2,6.4,0.52,16.3,24.4,0.166,2019,1151,17.2560754443235,20.4724409448819,94.17,37.7285163892054
chicago state,31,3,28,0.097,-24.14,0.97,1921,2624,72.1,86,0.331,0.267,0.488,44.8,52.2,8.3,6.2,0.452,20.1,22.2,0.224,2019,1152,2.10373594486761,0,61.86,2.10373594486761
cincinnati,31,25,6,0.806,14.45,4.77,2221,1921,65.1,109.2,0.382,0.334,0.529,53.7,55.2,9.8,14.9,0.488,13.6,36.9,0.272,2019,1153,37.0964816829888,30.4461942257218,123.65,67.5426759087106
citadel,30,12,18,0.4,-7.57,0.4,2553,2584,76.7,110,0.26,0.535,0.565,47.7,51.5,8.7,10.6,0.539,14.6,27,0.192,2019,1154,17.1291258614436,31.496062992126,102.43,48.6251888535696
clemson,32,19,13,0.594,15.22,10,2209,2042,67.4,102.5,0.327,0.36,0.547,52.7,49.8,9.6,13.2,0.512,17.5,27.7,0.24,2019,1155,37.7947043888284,21.6535433070866,117.72,59.4482476959151
cleveland state,31,10,21,0.323,-7.69,-1.24,2300,2437,71.4,103.1,0.319,0.447,0.545,47.5,57.6,7.8,8.3,0.518,16.3,26.7,0.218,2019,1156,17.0203119332608,22.4409448818898,95.41,39.4612568151506
coastal carolina,30,15,15,0.5,-0.05,-1.97,2314,2185,70.8,108,0.415,0.383,0.565,52.9,51.1,9,7.9,0.527,17.3,32,0.299,2019,1157,23.9481320275662,28.8713910761155,107.95,52.8195231036817
colgate,34,24,10,0.706,1.23,-4.19,2578,2381,67.9,110.5,0.287,0.405,0.585,53,57.1,9,10.2,0.558,16.7,29.6,0.213,2019,1159,25.1088139281828,32.1522309711286,111.73,57.2610448993114
college of charleston,33,24,9,0.727,2.89,-2.43,2453,2265,66.3,111.3,0.338,0.367,0.581,50.4,44.1,9.8,7.3,0.545,14.1,25.4,0.259,2019,1158,26.614073268045,33.2020997375328,114.19,59.8161730055778
colorado state,32,12,20,0.375,0.36,1.88,2393,2406,68.9,108.1,0.318,0.397,0.572,49.8,54.5,9,6.6,0.548,15.1,24.5,0.221,2019,1161,24.3199129488575,29.002624671916,108.46,53.3225376207735
colorado,31,20,11,0.645,9.75,3.27,2305,2104,69.7,106.2,0.367,0.348,0.557,54.4,51.2,7.5,8.4,0.518,16.8,30.6,0.272,2019,1160,32.8346028291621,26.509186351706,115.95,59.3437891808682
columbia,28,10,18,0.357,-4.77,-1.73,2059,2052,69.4,102.3,0.22,0.381,0.542,49.7,56.9,10.8,8.3,0.521,16.1,25.6,0.155,2019,1162,19.6681175190424,21.3910761154856,97.53,41.059193634528
connecticut,31,15,16,0.484,7.58,3.9,2311,2197,69.9,106.3,0.317,0.367,0.54,51,47.8,8.9,12,0.513,15.9,32.8,0.218,2019,1163,30.866884294523,26.6404199475066,113.88,57.5073042420296
coppin state,33,8,25,0.242,-18.54,-6.76,2118,2507,71.9,88.5,0.377,0.46,0.492,48.8,45.9,7.1,9.5,0.454,20.5,25.5,0.251,2019,1164,7.18171926006529,3.28083989501312,69.96,10.4625591550784
cornell,30,15,15,0.5,-5.33,-1.4,2060,2113,69.5,97.5,0.328,0.429,0.541,46.7,59.9,8.4,8.6,0.507,17.1,18.6,0.236,2019,1165,19.1603191875227,15.0918635170604,92.17,34.252182704583
creighton,31,18,13,0.581,12.84,9.17,2459,2299,70.3,111.1,0.294,0.471,0.596,50.1,56.9,9.5,7.2,0.578,16.6,25.2,0.203,2019,1166,35.6365614798694,32.9396325459318,123.94,68.5761940258012
dartmouth,30,11,19,0.367,-5.36,-2.61,2160,2116,68.3,104.6,0.249,0.411,0.553,50.3,52.5,7.7,8.5,0.528,15.6,24.3,0.18,2019,1171,19.133115705477,24.4094488188977,99.24,43.5425645243746
davidson,31,23,8,0.742,7.71,2.14,2214,2013,66.1,107.7,0.283,0.473,0.57,51,57.7,7.8,7.4,0.541,15.1,23,0.211,2019,1172,30.9847660500544,28.4776902887139,115.41,59.4624563387683
dayton,31,21,10,0.677,10.68,3.03,2278,2041,66.3,109.5,0.331,0.343,0.584,52.3,60.4,7.5,6.9,0.562,16.6,26.8,0.229,2019,1173,33.6779107725789,30.8398950131234,120.18,64.5178057857023
delaware state,30,6,24,0.2,-26.46,-9.82,1899,2296,72.9,86.8,0.252,0.404,0.447,46.7,48.1,9.5,5.8,0.415,16.7,27.8,0.171,2019,1175,0,1.04986876640421,60.34,1.04986876640421
delaware,33,17,16,0.515,-7.36,-4.26,2352,2380,64.7,106.9,0.312,0.413,0.567,48.8,51.2,6.8,6.5,0.537,15.4,23.8,0.227,2019,1174,17.3195502357635,27.4278215223097,99.54,44.7473717580732
denver,30,8,22,0.267,-11.5,-2.64,2086,2319,69.1,100.3,0.267,0.361,0.537,51.5,46.9,6.8,7.9,0.504,17.4,26.7,0.203,2019,1176,13.5654697134567,18.7664041994751,88.8,32.3318739129317
depaul,30,15,15,0.5,7.07,5.3,2306,2253,71,107.8,0.354,0.332,0.557,54.1,53,8.9,8.7,0.524,16.7,32.8,0.253,2019,1177,30.4044250997461,28.6089238845144,114.87,59.0133489842606
